product,8l_sn,Wlan_Mac,Eth_Mac,BT_Mac,time
MIDI,2240LZ50V8D8,0881B2000A56,0881B2000A57,0881B2000A58,5/10/2022 7:39
MIDI,2240LZ50VV68,0881B2000BF8,0881B2000BF9,0881B2000BFA,7/10/2022 1:01
MIDI,2240LZ50VWL8,0881B2000B76,0881B2000B77,0881B2000B78,6/10/2022 6:48
MIDI,2240LZ50VVF8,0881B2000BDD,0881B2000BDE,0881B2000BDF,6/10/2022 9:00
MIDI,2240LZ50VUK8,0881B2000AA1,0881B2000AA2,0881B2000AA3,8/10/2022 5:14
MIDI,2240LZ50VVH8,0881B2000BD7,0881B2000BD8,0881B2000BD9,8/10/2022 4:08
MIDI,2240LZ50VVX8,0881B2000BB0,0881B2000BB1,0881B2000BB2,6/10/2022 8:03
MIDI,2240LZ50VWF8,0881B2000B83,0881B2000B84,0881B2000B85,6/10/2022 6:57
MIDI,2240LZ50VUW8,0881B2000C16,0881B2000C17,0881B2000C18,7/10/2022 0:17
MIDI,2240LZ50VWJ8,0881B2000B79,0881B2000B7A,0881B2000B7B,6/10/2022 6:21
MIDI,2240LZ50VV88,0881B2000BEC,0881B2000BED,0881B2000BEE,6/10/2022 9:14
MIDI,2240LZ50VWK8,0881B2000B73,0881B2000B74,0881B2000B75,6/10/2022 6:16
MIDI,2240LZ50VWA8,0881B2000B92,0881B2000B93,0881B2000B94,6/10/2022 7:18
MIDI,2240LZ50VVT8,0881B2000BC2,0881B2000BC3,0881B2000BC4,6/10/2022 8:19
MIDI,2240LZ50VWG8,0881B2000B7F,0881B2000B80,0881B2000B81,6/10/2022 6:53
MIDI,2240LZ50MJJ8,0881B2000B41,0881B2000B42,0881B2000B43,6/10/2022 5:11
MIDI,2240LZ50VWD8,0881B2000B89,0881B2000B8A,0881B2000B8B,6/10/2022 7:08
MIDI,2240LZ50VVY8,0881B2000BB3,0881B2000BB4,0881B2000BB5,7/10/2022 1:17
MIDI,2240LZ50VQF8,0881B2000DD1,0881B2000DD2,0881B2000DD3,8/10/2022 1:30
MIDI,2240LZ50VW78,0881B2000DF0,0881B2000DF1,0881B2000DF2,8/10/2022 3:45
MIDI,2240LZ50V7N8,0881B2000A8F,0881B2000A90,0881B2000A91,6/10/2022 0:38
MIDI,2240LZ50VWR8,0881B2000B64,0881B2000B65,0881B2000B66,6/10/2022 5:54
MIDI,2240LZ50VQB8,0881B2000DFC,0881B2000DFD,0881B2000DFE,8/10/2022 5:05
MIDI,2240LZ50VWT8,0881B2000B70,0881B2000B71,0881B2000B72,6/10/2022 6:08
MIDI,2240LZ50MJN8,0881B2000B35,0881B2000B36,0881B2000B37,6/10/2022 5:03
MIDI,2240LZ50VRU8,0881B2000D25,0881B2000D26,0881B2000D27,7/10/2022 7:38
MIDI,2240LZ50V7Q8,0881B2000A89,0881B2000A8A,0881B2000A8B,5/10/2022 9:31
MIDI,2240LZ50VWE8,0881B2000B86,0881B2000B87,0881B2000B88,6/10/2022 7:01
MIDI,2240LZ50VWC8,0881B2000B8C,0881B2000B8D,0881B2000B8E,6/10/2022 7:13
MIDI,2240LZ50MJR8,0881B2000B38,0881B2000B39,0881B2000B3A,6/10/2022 5:32
MIDI,2240LZ50VQM8,0881B2000DB5,0881B2000DB6,0881B2000DB7,8/10/2022 0:06
MIDI,2240LZ50MKK8,0881B2000AE0,0881B2000AE1,0881B2000B16,8/10/2022 3:01
MIDI,2240LZ50VV28,0881B2000C07,0881B2000C08,0881B2000C09,6/10/2022 10:18
MIDI,2240LZ50MJV8,0881B2000B26,0881B2000B27,0881B2000B28,6/10/2022 4:42
MIDI,2240LZ50VW48,0881B2000B9E,0881B2000B9F,0881B2000BA0,6/10/2022 8:37
MIDI,2240LZ50VRD8,0881B2000B8F,0881B2000B90,0881B2000B91,8/10/2022 5:37
MIDI,2240LZ50V8Q8,0881B2000A37,0881B2000A38,0881B2000A39,5/10/2022 6:03
MIDI,2240LZ50MJQ8,0881B2000B2F,0881B2000B30,0881B2000B31,6/10/2022 4:50
MIDI,2240LZ50V928,0881B2000A19,0881B2000A1A,0881B2000A1B,5/10/2022 5:19
MIDI,2240LZ50VQN8,0881B2000DB2,0881B2000DB3,0881B2000DB4,7/10/2022 10:47
MIDI,2240LZ50VQC8,0881B2000DDA,0881B2000DDB,0881B2000DDC,8/10/2022 1:23
MIDI,2240LZ50VQV8,0881B2000DA3,0881B2000DA4,0881B2000DA5,8/10/2022 0:19
MIDI,2240LZ50VVE8,0881B2000BE0,0881B2000BE1,0881B2000BE2,6/10/2022 9:05
MIDI,2240LZ50V7P8,0881B2000A8C,0881B2000A8D,0881B2000A8E,5/10/2022 9:40
MIDI,2240LZ50VUQ8,0881B2000C28,0881B2000C29,0881B2000C2A,6/10/2022 10:57
MIDI,2240LZ50MKL8,0881B2000DFF,0881B2000E00,0881B2000E01,8/10/2022 5:09
MIDI,2240LZ50VUG8,0881B2000C42,0881B2000C43,0881B2000C44,7/10/2022 0:47
MIDI,2240LZ50MLG8,0881B2000A95,0881B2000A96,0881B2000A97,7/10/2022 0:13
MIDI,2240LZ50VW28,0881B2000E05,0881B2000E06,0881B2000E07,8/10/2022 5:42
MIDI,2240LZ50V8S8,0881B2000A31,0881B2000A32,0881B2000A33,5/10/2022 5:54
MIDI,2240LZ50VUV8,0881B2000C19,0881B2000C1A,0881B2000C1B,6/10/2022 10:36
